molecule	logP	Encap_Efficiency	n_beads	epsilon_W	epsilon_EO	epsilon_N1	epsilon_polymer	relative_polymer_over_W	delta_polymer_minus_W	plape_plape	plape_res	res_res	res-rest
HEaSC00455	-1.100400	0.227133	3	7.520000	7.811565	6.290000	14.101565	1.875208	6.581565	-26055.000000	-392.450000	-5.337940	-2452.320000
HEaSC00436	-1.088300	0.422333	4	10.470000	10.531538	9.700000	20.231538	1.932334	9.761538	-25823.200000	-1494.990000	-173.065000	-3031.610000
HEaSC00252	-1.037800	0.042000	1	4.330000	3.701689	3.240000	6.941689	1.603161	2.611689	-26149.400000	-57.449300	-5.097670	-2602.320000
HEaSC00304	-1.034300	0.038400	1	4.330000	3.701689	3.240000	6.941689	1.603161	2.611689	-26103.500000	-60.317100	-4.645040	-2597.090000
HEaSC00319	-1.030800	0.030533	1	4.330000	3.618701	3.070000	6.688701	1.544735	2.358701	-26278.600000	-42.942100	-3.979240	-2611.640000
HEaSC00360	-1.004700	0.042800	1	4.330000	3.701689	3.240000	6.941689	1.603161	2.611689	-26074.000000	-58.560300	-4.645370	-2601.670000
HEaSC00185	-0.987300	0.042800	1	4.330000	3.701689	3.240000	6.941689	1.603161	2.611689	-26246.200000	-56.828000	-4.808670	-2601.680000
HEaSC00517	-0.969900	0.493200	5	13.420000	12.906838	11.960000	24.866838	1.852969	11.446838	-25696.800000	-1963.080000	-325.152000	-3449.450000
HEaSC00306	-0.926300	0.133733	2	6.570000	6.181153	5.690000	11.871153	1.806873	5.301153	-26097.800000	-301.716000	-9.132260	-2879.590000
HEaSC00343	-0.922800	0.199467	3	8.290000	7.797579	7.540000	15.337579	1.850130	7.047579	-26000.600000	-414.029000	-107.314000	-3035.340000
HEaSC00409	-0.919400	0.450067	4	10.070000	9.923682	9.240000	19.163682	1.903047	9.093682	-25689.800000	-1523.740000	-313.660000	-2558.820000
HEaSC00453	-0.895000	0.719067	5	13.570000	13.184238	12.770000	25.954238	1.912619	12.384238	-25109.300000	-3548.360000	-565.963000	-2545.260000
HEaSC00452	-0.848000	0.747733	5	13.070000	12.699307	12.160000	24.859307	1.902013	11.789307	-25171.400000	-3394.940000	-519.827000	-2221.670000
HEaSC00329	-0.841000	0.130533	2	6.570000	6.181153	5.690000	11.871153	1.806873	5.301153	-26083.800000	-233.578000	-8.272040	-2863.650000
HEaSC00271	-0.830600	0.111800	2	6.540000	6.158590	5.690000	11.848590	1.811711	5.308590	-26012.100000	-229.505000	-7.638330	-2860.000000
HEaSC00206	-0.820100	0.302800	4	10.750000	10.295804	9.850000	20.145804	1.874028	9.395804	-25775.800000	-1069.330000	-193.129000	-3223.550000
HEaSC00524	-0.807900	0.168867	2	6.100000	6.112837	4.590000	10.702837	1.754563	4.602837	-26111.700000	-339.057000	-5.080910	-2241.160000
HEaSC00245	-0.794000	0.380333	3	7.560000	7.479556	6.930000	14.409556	1.906026	6.849556	-25846.700000	-1065.890000	-25.751100	-2110.350000
HEaSC00150	-0.755700	0.057400	1	4.330000	3.701689	3.390000	7.091689	1.637803	2.761689	-26097.200000	-72.302100	-4.826540	-2587.540000
HEaSC00230	-0.750500	0.528733	4	10.560000	10.295804	9.850000	20.145804	1.907747	9.585804	-25569.700000	-2128.460000	-244.870000	-2568.010000
HEaSC00592	-0.731300	0.144000	2	6.100000	6.112837	4.440000	10.552837	1.729973	4.452837	-26067.900000	-282.638000	-4.741310	-2276.630000
HEaSC00162	-0.727800	0.040467	1	4.330000	3.701689	3.390000	7.091689	1.637803	2.761689	-26011.900000	-66.651000	-5.010330	-2593.690000
HEaSC00531	-0.706900	0.211000	3	7.280000	7.811565	6.090000	13.901565	1.909556	6.621565	-25987.200000	-421.880000	-5.432490	-2337.900000
HEaSC00429	-0.700000	0.243333	3	7.560000	7.479556	6.930000	14.409556	1.906026	6.849556	-25990.200000	-630.227000	-8.496420	-2315.460000
HEaSC00159	-0.686000	0.043133	1	3.600000	3.095965	2.920000	6.015965	1.671101	2.415965	-25997.500000	-51.177700	-2.137980	-1745.870000
HEaSC00428	-0.686000	0.270000	3	7.560000	7.479556	6.930000	14.409556	1.906026	6.849556	-25922.800000	-615.049000	-8.599040	-2321.480000
HEaSC00187	-0.679100	0.046067	1	3.600000	3.095965	2.920000	6.015965	1.671101	2.415965	-26200.400000	-50.317700	-2.209050	-1748.170000
HEaSC00432	-0.679100	0.271933	3	8.060000	7.964487	7.540000	15.504487	1.923634	7.444487	-25898.100000	-789.058000	-13.317600	-2706.180000
HEaSC00147	-0.677300	0.049267	1	3.600000	3.095965	2.920000	6.015965	1.671101	2.415965	-26151.400000	-52.338500	-2.074060	-1743.660000
HEaSC00188	-0.665100	0.042800	1	3.600000	3.095965	2.920000	6.015965	1.671101	2.415965	-26277.700000	-46.490000	-2.211080	-1753.160000
HEaSC00430	-0.661700	0.252467	3	7.560000	7.479556	6.930000	14.409556	1.906026	6.849556	-26048.400000	-624.797000	-8.061080	-2319.600000
HEaSC00433	-0.626800	0.282133	3	8.060000	7.964487	7.540000	15.504487	1.923634	7.444487	-25914.900000	-772.132000	-14.138300	-2711.330000
HEaSC00576	-0.621600	0.096533	2	5.780000	5.219751	5.230000	10.449751	1.807915	4.669751	-26198.700000	-136.007000	-4.646000	-2319.520000
HEaSC00228	-0.605900	0.269667	3	9.100000	8.389545	8.150000	16.539545	1.817532	7.439545	-25887.300000	-863.402000	-109.736000	-3264.830000
HEaSC00504	-0.605900	0.148867	2	6.100000	5.573297	5.230000	10.803297	1.771032	4.703297	-26126.700000	-276.704000	-7.244570	-2426.380000
HEaSC00211	-0.604200	0.454600	4	12.100000	11.205793	11.070000	22.275793	1.840975	10.175793	-25636.600000	-1865.910000	-186.138000	-3645.870000
HEaSC00104	-0.592000	0.203400	2	6.340000	5.943775	5.930000	11.873775	1.872835	5.533775	-25880.000000	-526.404000	-8.223140	-2614.840000
HEaSC00485	-0.590300	0.258333	3	9.100000	8.389545	8.150000	16.539545	1.817532	7.439545	-25879.000000	-742.605000	29.233000	-3280.260000
HEaSC00401	-0.586800	0.430533	4	10.420000	10.001949	10.040000	20.041949	1.923412	9.621949	-25591.000000	-1493.850000	217.675000	-2875.430000
HEaSC00488	-0.583300	0.222733	3	9.100000	8.389545	8.150000	16.539545	1.817532	7.439545	-25915.800000	-650.271000	-101.433000	-3344.230000
HEaSC00484	-0.581600	0.239267	3	9.100000	8.389545	8.150000	16.539545	1.817532	7.439545	-25885.100000	-740.911000	30.931800	-3279.470000
HEaSC00503	-0.579800	0.124467	2	6.100000	5.573297	5.230000	10.803297	1.771032	4.703297	-26102.700000	-267.860000	-7.162310	-2427.430000
HEaSC00449	-0.578100	0.379600	4	12.100000	11.205793	11.070000	22.275793	1.840975	10.175793	-25546.500000	-1475.840000	-240.704000	-3910.500000
HEaSC00264	-0.562400	0.150267	2	4.970000	5.031474	4.810000	9.841474	1.980176	4.871474	-26115.200000	-224.276000	-2.509500	-1670.330000
HEaSC00451	-0.557200	0.341133	4	12.100000	11.205793	11.070000	22.275793	1.840975	10.175793	-25758.300000	-1284.920000	-104.615000	-4034.570000
HEaSC00120	-0.555400	0.155800	2	4.970000	5.218112	4.810000	10.028112	2.017729	5.058112	-26113.900000	-245.855000	-2.647980	-1652.600000
HEaSC00222	-0.552000	0.128133	2	6.340000	6.035138	5.690000	11.725138	1.849391	5.385138	-26019.400000	-291.080000	-7.874790	-2727.850000
HEaSC00502	-0.543300	0.106733	2	6.100000	5.573297	5.230000	10.803297	1.771032	4.703297	-26058.400000	-221.065000	-6.939340	-2415.970000
HEaSC00136	-0.538000	0.200467	2	5.930000	5.498871	5.470000	10.968871	1.849725	5.038871	-26068.900000	-441.995000	-5.218240	-2128.490000
HEaSC00491	-0.498000	0.239067	3	9.100000	8.389545	8.150000	16.539545	1.817532	7.439545	-26053.200000	-600.886000	-94.595100	-3384.990000
HEaSC00603	-0.471900	0.208467	2	7.120000	6.665628	6.160000	12.825628	1.801352	5.705628	-25818.600000	-584.706000	-18.936900	-3248.980000
HEaSC00525	-0.464900	0.320800	3	6.970000	7.998203	6.280000	14.278203	2.048523	7.308203	-25801.900000	-695.034000	-7.464220	-2059.150000
HEaSC00316	-0.435300	0.157200	2	4.780000	5.031474	4.620000	9.651474	2.019137	4.871474	-25895.300000	-233.365000	-2.441360	-1603.850000
HEaSC00437	-0.435300	0.434333	3	8.960000	8.669262	8.390000	17.059262	1.903935	8.099262	-25549.700000	-1502.280000	-33.186100	-2653.340000
HEaSC00342	-0.430100	0.246933	3	7.460000	7.733866	7.190000	14.923866	2.000518	7.463866	-26004.800000	-572.447000	-37.953000	-2651.220000
HEaSC00394	-0.423100	0.450800	4	10.110000	10.221975	9.850000	20.071975	1.985359	9.961975	-25393.700000	-1586.350000	72.219400	-2698.240000
HEaSC00160	-0.409200	0.050000	1	4.140000	3.618701	3.390000	7.008701	1.692923	2.868701	-26186.600000	-81.796300	-4.771680	-2447.680000
HEaSC00505	-0.404000	0.664533	4	9.420000	9.737044	9.240000	18.977044	2.014548	9.557044	-25485.400000	-2601.220000	-238.253000	-1693.410000
