compound,logP,split,stratum
Binapacryl,9.362600326538086,train,
Dichlorprop-P,5.696199893951416,train,
HEaSC00556,0.8479999899864197,train,
Diuron,4.113800048828125,train,
Fluazifop,8.189200401306152,train,
1-methylIndole,6.540599822998047,train,
4-methyl-3-nitroAniline,4.240799903869629,train,
Q1,-1.9093595743179321,train,
Isoamyl_salicylate,6.051400184631348,train,
HEaSC00222,-0.5519999861717224,train,
N1,1.418881893157959,train,
HEaSC00245,-0.7940000295639038,train,
HEaSC00080,0.9994999766349792,train,
HEaSC00483,-0.026100000366568565,train,
Karbutilate,5.083399772644043,train,
HEaSC00299,0.18459999561309814,train,
Prodiamine,6.967100143432617,train,
HEaSC00355,1.7585999965667725,train,
HEaSC00395,2.0058999061584473,train,
HEaSC00139,-1.309399962425232,train,
HEaSC00130,1.1875,train,
SP6a,-1.6816377639770508,train,
1_4-Diaminoanthraquinone,9.91100025177002,train,
HEaSC00257,1.4085999727249146,train,
Fenhexamid,10.663000106811523,train,
HEaSC00207,0.5745999813079834,train,
Propylparaben,4.8414998054504395,train,
Dinitramine,7.849699974060059,train,
HEaSC00431,1.2450000047683716,train,
TN6,-1.0685406923294067,train,
HEaSC00131,1.3964999914169312,train,
HEaSC00094,3.149899959564209,train,
HEaSC00347,1.0342999696731567,train,
HEaSC00193,-2.2913999557495117,train,
HEaSC00419,0.6215999722480774,train,
HEaSC00136,-0.5379999876022339,train,
HEaSC00087,-0.3273000121116638,train,
N1a,1.8743255138397217,train,
SN4d,0.19268766045570374,train,
Bromoxynil_octanoate,8.29539966583252,train,
P6,-1.6115695238113403,train,
Prosulfocarb,7.8358001708984375,train,
D,-4.6945719718933105,train,
N-methylAniline,3.1596999168395996,train,
TN6a,-0.7181994915008545,train,
TQ4,-2.855280876159668,train,
Pyrithiobac-sodium,10.219099998474121,train,
HEaSC00241,1.5166000127792358,train,
4-nitroAniline,4.333099842071533,train,
TP4a,-1.6641207933425903,train,
HEaSC00459,2.2671000957489014,train,
2-hydroxybenzoic_acid,3.1354000568389893,train,
HEaSC00220,-0.40220001339912415,train,
Ethylparaben,4.742199897766113,train,
HEaSC00416,0.2994999885559082,train,
Vernolate,3.8543999195098877,train,
SP5,-2.0670130252838135,train,
HEaSC00104,-0.5920000076293945,train,
Fenfuram,8.87339973449707,train,
SQ3,-3.1530709266662598,train,
SC3,1.6115695238113403,train,
HEaSC00567,2.3680999279022217,train,
HEaSC00529,0.2646999955177307,train,
HEaSC00156,0.06270000338554382,train,
HEaSC00435,-1.9206000566482544,train,
HEaSC00544,1.2396999597549438,train,
Cyprodinil,10.483699798583984,train,
HEaSC00254,2.0250000953674316,train,
HEaSC00574,0.4092000126838684,train,
HEaSC00569,1.5357999801635742,train,
HEaSC00217,1.5844999551773071,train,
Monalide,8.425999641418457,train,
Dinoterb,7.968100070953369,train,
Chlorbromuron,4.127699851989746,train,
Desmedipham,7.209099769592285,train,
Pentachlorothioanisole,0.36910000443458557,train,
TN4,-0.5079947710037231,train,
HEaSC00272,-0.06960000097751617,train,
Ancymidol,9.646300315856934,train,
HEaSC00284,2.871299982070923,train,
HEaSC00033,2.5473999977111816,train,
HEaSC00251,0.8184000253677368,train,
Isoproturon,4.958099842071533,train,
Chlorotoluron,4.999899864196777,train,
HEaSC00183,-1.3459999561309814,train,
TP2d,-1.1911600828170776,train,
HEaSC00068,-2.2530999183654785,train,
HEaSC00152,0.4108999967575073,train,
HEaSC00535,0.3116999864578247,train,
HEaSC00083,1.8142999410629272,train,
HEaSC00387,2.2392001152038574,train,
thioanisole,6.065299987792969,train,
SN3d,0.035034120082855225,train,
HEaSC00591,1.722100019454956,train,
TQ2,-2.539973735809326,train,
HEaSC00538,-1.9972000122070312,train,
Indole,5.492599964141846,train,
2_3_5_6-TetrachloroAniline,4.686500072479248,train,
Ethoxyquin,10.372300148010254,train,
Pentanochlor,9.28600025177002,train,
1-Naphthol,7.20389986038208,train,
HEaSC00367,0.5379999876022339,train,
HEaSC00044,1.4869999885559082,train,
HEaSC00398,-0.08179999887943268,train,
HEaSC00592,-0.7312999963760376,train,
P3a,-0.6130971312522888,train,
Anisole,5.2332000732421875,train,
Aminocarb,1.944599986076355,train,
Dicamba,5.194900035858154,train,
HEaSC00165,0.23510000109672546,train,
TN2d,0.4028923809528351,train,
HEaSC00252,-1.0377999544143677,train,
Piperonyl_butoxide,7.891499996185303,train,
N5a,0.38537532091140747,train,
TP2,-1.5415012836456299,train,
HEaSC00566,1.7639000415802002,train,
HEaSC00532,0.15850000083446503,train,
4-methylPhenol,4.265200138092041,train,
Octinoxate,10.518500328063965,train,
HEaSC00341,1.004699945449829,train,
HEaSC00424,2.7163000106811523,train,
SP1a,-0.648131251335144,train,
4-tert-ButylPhenol,5.6265997886657715,train,
HEaSC00122,-0.2976999878883362,train,
4-toluidine,3.9082999229431152,train,
HEaSC00450,-0.03310000151395798,train,
Fenobucarb,3.7202999591827393,train,
2-nitroAniline,3.877000093460083,train,
SQ1,-1.8568084239959717,train,
HEaSC00437,-0.43529999256134033,train,
HEaSC00366,0.0017000000225380063,train,
HEaSC00551,1.3633999824523926,train,
Difenoxuron,9.830900192260742,train,
Chlorbenside,12.79740047454834,train,
Methyl_3-methylorsellinate,5.469900131225586,train,
HEaSC00605,2.2739999294281006,train,
TN3,-0.5430288910865784,train,
HEaSC00138,2.599600076675415,train,
HEaSC00051,1.3006999492645264,train,
HEaSC00503,-0.579800009727478,train,
Sodium_dicamba,5.502999782562256,train,
C3,2.4173543453216553,train,
Methoxychlor,12.736499786376953,train,
2_4_6-TriisopropylPhenol,10.69260025024414,train,
Dimethametryn,1.7984000444412231,train,
2_4-Dimethyl-N-phenyl-5-thiazolecarboxamide,8.591400146484375,train,
Cinoxate,8.996999740600586,train,
Pentachloroanisole,8.499099731445312,train,
HEaSC00490,-0.022600000724196434,train,
2_4-D-Butotyl,6.2027997970581055,train,
HEaSC00153,1.3982000350952148,train,
SP3d,-1.0685406923294067,train,
HEaSC00274,-1.236299991607666,train,
SC5,1.1035747528076172,train,
HEaSC00032,2.5439000129699707,train,
Procaine_hydrochloride,5.280200004577637,train,
HEaSC00132,2.237499952316284,train,
