compound,encapsulation_mean
4-toluidine,0.9346
5_7-Dimethoxy-2H-chromen-2-one,0.99607
8-Hydroxyquinoline,0.98307
8-Hydroxyquinoline-5-sulfonic_acid,0.89707
Acibenzolar-S-methyl,0.99813
Aclonifen,0.999
Aminocarb,0.80987
Ancymidol,0.99707
Anethole,0.9968
Anisole,0.99133
Benfuresate,0.98573
Benodanil,0.99907
Benzothiazole,0.9874
Benzyl_salicylate,0.9978
Binapacryl,0.98913
BisPhenol_A,0.99907
Bromoxynil,0.98647
Bromoxynil_heptanoate,0.97347
Bromoxynil_octanoate,0.9896
Butylate,0.98713
Butylated_hydroxytoluene,0.99867
Butylparaben,0.96927
Capsaicin,0.99673
Carbaryl,0.9888
Carbetamide,0.96467
Carbofuran,0.98107
Chloramben,0.85393
Chlorbenside,0.99973
Chlorbromuron,0.9338
Chloroneb,0.99607
Chlorotoluron,0.9642
Chlorpropamide,0.98287
Cinoxate,0.99467
Clorophene,0.9992
Cyclanilide,0.97967
Cycloate,0.986
Cyprodinil,0.99953
Desmedipham,0.99207
Diallate,0.989
Diallyl_diSulfide,0.99087
Dicamba,0.98947
Dicamba-dimethylammonium,0.98267
Dichlorprop,0.98167
Dichlorprop-P,0.9776
Dicloran,0.96367
Diethofencarb,0.9798
Diflubenzuron,0.99813
Diflufenzopyr,0.99387
Diflufenzopyr-sodium,0.9922
Dimethametryn,0.7076
Dimethenamid,0.99367
Dimethenamid-P,0.99553
Dimethenamid_OA,0.98033
Dimethenamide_ESA,0.96733
Dinitramine,0.98613
Dinobuton,0.97693
Dinoseb,0.99447
Dinoterb,0.9926
Dioxacarb,0.95933
Diphenylamine,0.9992
Diuron,0.9414
Entsufon_sodium,0.9936
Esprocarb,0.9988
Ethiofencarb,0.96113
Ethoxyquin,0.99913
Ethyl_anthranilate,0.9818
Ethylparaben,0.982
Eugenol,0.9982
Fenfuram,0.9994
Fenhexamid,0.999
Fenobucarb,0.9492
Fenson,0.9888
Fenuron,0.92013
Fipronil_Sulfide,0.9962
Fluazifop,0.99653
Fluazifop-P,0.99593
Fluometuron,0.9838
Fluorodifen,0.99853
Flurprimidol,0.9916
Flutolanil,0.99827
Harmine_hydrochloride,0.9996
Hydroquinone,0.9312
Indole,0.99627
Ioxynil,0.989
Isoamyl_salicylate,0.99053
Isoprocarb,0.94473
Isoproturon,0.9724
Lemax,0.99247
Linuron,0.9034
MCPB,0.97627
Mandestrobin,0.99887
Mecoprop,0.98393
Mepronil,0.9986
Meptyldinocap,0.99293
Methabenzthiazuron,0.95793
Methfuroxam,0.99953
Methiocarb,0.97
Methoxychlor,0.99973
Methyl_2-aminobenzoate,0.94473
Methyl_3-methylorsellinate,0.97227
Methyl_salicylate,0.9486
Methyleugenol,0.9992
Metobromuron,0.91107
Metominostrobin,0.993
Metoxuron,0.97087
Monalide,0.9964
Monolinuron,0.88573
Monuron,0.9368
Musk_ambrette,0.99633
Napropamide,0.99847
Octinoxate,0.99127
Octyl_salicylate,0.9824
Orbencarb,0.99633
Pebulate,0.9716
Pendimethalin,0.9796
PentachloroAniline,0.99387
PentachloroPhenol,0.99753
Pentachloroanisole,0.99927
Pentachlorothioanisole,0.99927
Pentanochlor,0.99647
Pentyl_2-hydroxybenzoate,0.99147
Phenothrin,0.99967
Piperonal,0.98827
Piperonyl_butoxide,0.995
Procaine_hydrochloride,0.9762
Prodiamine,0.97
Promecarb,0.9614
Propham,0.9788
Propoxur,0.87793
Propyl-3-tert-butylphenoxyacetate,0.99387
Propyl_gallate,0.95247
Prosulfocarb,0.99187
Prothiocarb,0.42167
Pyrimethanil,0.9992
Pyrithiobac-sodium,0.99833
Quinoxyfen,0.99967
Salicylic_acid,0.89087
Simetryn,0.31013
Sodium_2-methoxy-5-nitroPhenolate,0.9908
Sodium_dicamba,0.98687
Sodium_salicylate,0.81533
Thiamine_hydrochloride,0.98713
Thiobencarb,0.99673
Thymol,0.99593
Triadimefon,0.99333
Triadimenol,0.94487
Triazamate,0.92793
Vernolate,0.8972
XMC,0.92747
c16_t8_10_lp02_22_32_42_132_162_Sgn13_14_15ht_Poly,0.96033
c16_t8_10_lp122_152_Sgn12_13_14ht_Triton_X-100,0.98587
o-Cresol,0.98787
p,0.9944
thioanisole,0.99713
C1,0.576533
C2,0.4318
C3,0.464267
C4,0.580667
C5,0.4686
C6,0.447267
D,0.001933
N1,0.292933
N1a,0.389533
N1d,0.4018
N2,0.147333
N2a,0.206
N2d,0.206867
N3,0.069533
N3a,0.089467
N3d,0.082533
N4,0.0808
N4a,0.096267
N4d,0.0892
N5,0.048667
N5a,0.0666
N5d,0.068133
N6,0.041133
N6a,0.0412
N6d,0.045333
P1,0.040733
P1a,0.045067
P1d,0.048333
P2,0.036
P2a,0.0374
P2d,0.035533
P3,0.0294
P3a,0.0292
P3d,0.030067
P4,0.023067
P4a,0.023333
P4d,0.0204
P5,0.015467
P5a,0.018733
P5d,0.020067
P6,0.018933
P6a,0.024867
P6d,0.022933
Q1,0.028333
Q2,0.033333
Q3,0.026467
Q4,0.022533
Q5,0.015
SC1,0.3442
SC2,0.256733
SC3,0.3252
SC4,0.432267
SC5,0.318467
SC6,0.394267
SD,0.0008
SN1,0.260533
SN1a,0.350133
SN1d,0.354667
SN2,0.115267
SN2a,0.147533
SN2d,0.144133
SN3,0.048333
SN3a,0.0668
SN3d,0.064933
SN4,0.054467
SN4a,0.071133
SN4d,0.0786
SN5,0.039667
SN5a,0.051
SN5d,0.050733
SN6,0.029
SN6a,0.035867
SN6d,0.037133
SP1,0.035733
SP1a,0.039333
SP1d,0.032933
SP2,0.023733
SP2a,0.0304
SP2d,0.034667
SP3,0.030933
SP3a,0.027
SP3d,0.027133
SP4,0.017
SP4a,0.020667
SP4d,0.018333
SP5,0.012867
SP5a,0.015867
SP5d,0.012867
SP6,0.013467
SP6a,0.017133
SP6d,0.019533
SQ1,0.051067
SQ2,0.038
SQ3,0.015267
SQ4,0.008933
SQ5,0.006667
SX1,0.446267
SX2,0.280067
SX3,0.332467
SX4,0.225867
TC1,0.3206
TC2,0.187533
TC3,0.2226
TC4,0.312067
TC5,0.2074
TC6,0.2408
TD,0.0034
TN1,0.158133
TN1a,0.2288
TN1d,0.221667
TN2,0.076533
TN2a,0.103467
TN2d,0.1042
TN3,0.038267
TN3a,0.042067
TN3d,0.043333
TN4,0.041267
TN4a,0.050467
TN4d,0.0486
TN5,0.030467
TN5a,0.0366
TN5d,0.037067
TN6,0.0226
TN6a,0.029533
TN6d,0.0342
TP1,0.025867
TP1a,0.028067
TP1d,0.030867
TP2,0.020267
TP2a,0.025933
TP2d,0.0238
TP3,0.024533
TP3a,0.020467
TP3d,0.019333
TP4,0.0128
TP4a,0.017267
TP4d,0.017867
TP5,0.013067
TP5a,0.012667
TP5d,0.018267
TP6,0.015667
TP6a,0.012733
TP6d,0.011933
TQ1,0.206733
TQ2,0.108533
TQ3,0.017533
TQ4,0.006067
TQ5,0.004133
TX1,0.336733
TX2,0.167
TX3,0.200133
TX4,0.1516
X1,0.600933
X2,0.3896
X3,0.480467
X4,0.3428
