compound,encapsulation_mean
HEaSC00190,0.071067
HEaSC00327,0.1486
HEaSC00296,0.061667
HEaSC00176,0.065867
HEaSC00202,0.479733
HEaSC00377,0.394133
HEaSC00118,0.262
HEaSC00297,0.195933
HEaSC00398,0.3714
HEaSC00396,0.393267
HEaSC00272,0.216933
HEaSC00359,0.055733
HEaSC00393,0.363533
HEaSC00390,0.363133
HEaSC00289,0.235667
HEaSC00450,0.718867
HEaSC00483,0.7104
HEaSC00490,0.704467
HEaSC00392,0.361067
HEaSC00366,0.472667
HEaSC00489,0.709267
HEaSC00365,0.482667
HEaSC00112,0.303533
HEaSC00100,0.2968
HEaSC00156,0.196267
HEaSC00191,0.218667
HEaSC00473,0.497333
HEaSC00154,0.214333
HEaSC00259,0.2664
HEaSC00532,0.355267
HEaSC00146,0.081867
HEaSC00471,0.5036
HEaSC00116,0.3002
HEaSC00299,0.089467
HEaSC00404,0.604933
HEaSC00383,0.4708
HEaSC00382,0.4918
HEaSC00528,0.284333
HEaSC00165,0.3286
HEaSC00595,0.2536
HEaSC00597,0.2294
HEaSC00529,0.2798
HEaSC00385,0.611
HEaSC00256,0.4108
HEaSC00530,0.2132
HEaSC00465,0.781267
HEaSC00416,0.635
HEaSC00535,0.187867
HEaSC00179,0.109733
HEaSC00589,0.076333
HEaSC00181,0.116333
HEaSC00302,0.0714
HEaSC00074,0.1132
HEaSC00575,0.621
HEaSC00574,0.290067
HEaSC00152,0.281933
HEaSC00148,0.075667
HEaSC00209,0.223267
HEaSC00303,0.266867
HEaSC00219,0.308067
HEaSC00526,0.500267
HEaSC00367,0.7308
HEaSC00600,0.247067
HEaSC00207,0.775
HEaSC00570,0.556133
HEaSC00422,0.8618
HEaSC00419,0.8862
HEaSC00095,0.223533
HEaSC00101,0.435467
HEaSC00053,0.234067
HEaSC00594,0.375533
HEaSC00361,0.1424
HEaSC00043,0.2424
HEaSC00119,0.1502
HEaSC00593,0.359533
HEaSC00026,0.234133
HEaSC00464,0.618867
HEaSC00093,0.4322
HEaSC00350,0.382933
HEaSC00351,0.325867
HEaSC00467,0.301933
HEaSC00067,0.512933
HEaSC00216,0.447133
HEaSC00301,0.4996
HEaSC00418,0.6356
HEaSC00096,0.319067
HEaSC00352,0.318
HEaSC00126,0.208467
HEaSC00446,0.894
HEaSC00251,0.474467
HEaSC00412,0.909067
HEaSC00556,0.826733
HEaSC00413,0.903133
HEaSC00262,0.745133
HEaSC00445,0.886133
HEaSC00460,0.853867
HEaSC00263,0.690933
HEaSC00447,0.882067
HEaSC00158,0.281267
HEaSC00533,0.5088
HEaSC00240,0.3758
HEaSC00408,0.968667
HEaSC00218,0.765067
HEaSC00425,0.827867
HEaSC00265,0.307867
HEaSC00059,0.239
HEaSC00348,0.1644
HEaSC00061,0.212667
HEaSC00080,0.371933
HEaSC00341,0.7588
HEaSC00542,0.63
HEaSC00260,0.471267
HEaSC00258,0.447
HEaSC00500,0.815667
HEaSC00347,0.156
HEaSC00288,0.607533
HEaSC00266,0.369933
HEaSC00426,0.965933
HEaSC00196,0.945267
HEaSC00549,0.756067
HEaSC00081,0.881733
HEaSC00086,0.898867
HEaSC00527,0.763133
HEaSC00427,0.960067
HEaSC00130,0.657533
HEaSC00438,0.875333
HEaSC00406,0.9626
HEaSC00397,0.872467
HEaSC00544,0.8038
HEaSC00313,0.505
HEaSC00431,0.530333
HEaSC00186,0.779867
HEaSC00380,0.417667
HEaSC00314,0.496533
HEaSC00573,0.668533
HEaSC00461,0.568067
HEaSC00548,0.824467
HEaSC00097,0.274667
HEaSC00051,0.283467
HEaSC00107,0.278267
HEaSC00389,0.831933
HEaSC00058,0.357067
HEaSC00063,0.347733
HEaSC00462,0.490333
HEaSC00551,0.470867
HEaSC00255,0.544733
HEaSC00550,0.601067
HEaSC00312,0.333533
HEaSC00131,0.357133
HEaSC00153,0.328
HEaSC00103,0.2572
HEaSC00257,0.328133
HEaSC00322,0.525267
HEaSC00323,0.672067
HEaSC00052,0.359067
HEaSC00134,0.2706
HEaSC00050,0.367067
HEaSC00044,0.3438
HEaSC00031,0.347333
HEaSC00035,0.340267
HEaSC00496,0.713533
HEaSC00282,0.434933
HEaSC00241,0.6486
HEaSC00384,0.901867
HEaSC00569,0.436333
HEaSC00571,0.692133
HEaSC00217,0.922533
HEaSC00281,0.344467
HEaSC00336,0.342067
HEaSC00590,0.6182
HEaSC00151,0.454933
HEaSC00054,0.45
HEaSC00309,0.461467
HEaSC00391,0.9258
HEaSC00497,0.4464
HEaSC00591,0.606133
HEaSC00355,0.770067
HEaSC00566,0.436667
HEaSC00356,0.774267
HEaSC00083,0.6408
HEaSC00379,0.929667
HEaSC00376,0.900333
HEaSC00098,0.798133
HEaSC00099,0.728467
HEaSC00498,0.756667
HEaSC00089,0.934933
HEaSC00378,0.892333
HEaSC00214,0.696267
HEaSC00395,0.970267
HEaSC00254,0.841467
HEaSC00311,0.759867
HEaSC00403,0.992333
HEaSC00036,0.406333
HEaSC00132,0.4044
HEaSC00387,0.9776
HEaSC00040,0.412933
HEaSC00092,0.402867
HEaSC00286,0.7902
HEaSC00459,0.900467
HEaSC00114,0.4168
HEaSC00605,0.412667
HEaSC00037,0.407333
HEaSC00113,0.410467
HEaSC00042,0.403867
HEaSC00038,0.4116
HEaSC00568,0.565867
HEaSC00242,0.9418
HEaSC00567,0.568067
HEaSC00115,0.829667
HEaSC00203,0.989667
HEaSC00547,0.902533
HEaSC00606,0.8082
HEaSC00082,0.960333
HEaSC00157,0.605867
HEaSC00315,0.609533
HEaSC00128,0.602267
HEaSC00032,0.598267
HEaSC00033,0.5848
HEaSC00091,0.625133
HEaSC00102,0.951133
HEaSC00138,0.893867
HEaSC00109,0.894867
HEaSC00084,0.8962
HEaSC00424,0.836333
HEaSC00604,0.910533
HEaSC00284,0.918
HEaSC00307,0.9824
HEaSC00094,0.967333
HEaSC00290,0.9582
HEaSC00085,0.969333
HEaSC00374,0.992467
Meptyldinocap,0.992933
Triadimefon,0.993333
Fipronil_Sulfide,0.9962
Prodiamine,0.97
Dinobuton,0.976933
Fluorodifen,0.998533
Phenothrin,0.999667
Entsufon_sodium,0.9936
Dinitramine,0.986133
Binapacryl,0.989133
Triflumuron,0.996
Diflufenzopyr,0.993867
Flutolanil,0.998267
Fluazifop,0.996533
Flurprimidol,0.9916
Fluazifop-P,0.995933
Methoxychlor,0.999733
Mandestrobin,0.998867
Diethofencarb,0.9798
Diflufenzopyr-sodium,0.9922
Triadimenol,0.944867
Mepronil,0.9986
Dimethenamide_ESA,0.967333
Metominostrobin,0.993
Sulisobenzone,0.994867
Bromoxynil_octanoate,0.9896
Capsaicin,0.996733
Pyrithiobac-sodium,0.998333
Diflubenzuron,0.998133
Napropamide,0.998467
Octinoxate,0.991267
Quinoxyfen,0.999667
Dinoseb,0.994467
Desmedipham,0.992067
Difenoxuron,0.994733
2_4-D-Butotyl,0.9752
Pendimethalin,0.9796
Musk_ambrette,0.996333
Dimethenamid-P,0.995533
Benodanil,0.999067
Thiamine_hydrochloride,0.987133
Procaine_hydrochloride,0.9762
Ancymidol,0.997067
Bromoxynil_heptanoate,0.973467
Dimethenamid,0.993667
Dimethametryn,0.7076
Lemax,0.992467
Triazamate,0.927933
2_4_6-TriisopropylPhenol,0.999133
BisPhenol_A,0.999067
Cyprodinil,0.999533
Karbutilate,0.928667
Harmine_hydrochloride,0.9996
Benzyl_salicylate,0.9978
Picric_acid,0.975333
2-Hydroxy-4-methoxybenzophenone,0.999667
Fenothiocarb,0.990867
Octyl_salicylate,0.9824
Cinoxate,0.994667
Dimethenamid_OA,0.980333
Dinoterb,0.9926
Ethoxyquin,0.999133
Esprocarb,0.9988
Propyl-3-tert-butylphenoxyacetate,0.993867
1_4-Diaminoanthraquinone,0.998
Chlorbenside,0.999733
Pentachlorothioanisole,0.999267
2_4-Dimethyl-N-phenyl-5-thiazolecarboxamide,0.995933
p,0.9944
Carbetamide,0.964667
Fenfuram,0.9994
Pentachloroanisole,0.999267
Methabenzthiazuron,0.957933
Cyclanilide,0.979667
c16_t8_10_lp122_152_Sgn12_13_14ht_Triton_X-100,0.985867
Fenson,0.9888
PentachloroPhenol,0.997533
Aclonifen,0.999
Fenhexamid,0.999
Fluometuron,0.9838
Pentyl_2-hydroxybenzoate,0.991467
8-Hydroxyquinoline-5-sulfonic_acid,0.897067
Prosulfocarb,0.991867
3_4-Dihydro-6-methyl-N-phenyl-2H-pyran-5-carboxami,0.982267
2_6-Di-tert-butyl-4-methoxyPhenol,0.998467
Benfuresate,0.985733
2_7_8_9-Tricyclazole,0.9838
Thiobencarb,0.996733
Simetryn,0.310133
5_7-Dimethoxy-2H-chromen-2-one,0.996067
Monalide,0.9964
Diallate,0.989
Carbofuran,0.981067
Orbencarb,0.996333
Isoproturon,0.9724
2_4-Dichlorophenoxybutyric_acid,0.980133
PentachloroAniline,0.993867
Butylate,0.987133
Carbaryl,0.9888
Clorophene,0.9992
Fenobucarb,0.9492
Hexyl_salicylate,0.991333
Metobromuron,0.911067
Dioxacarb,0.959333
Acibenzolar-S-methyl,0.998133
Monolinuron,0.885733
2_4-DiisopropylPhenol,0.997467
Butylparaben,0.969267
Methyl_3-methylorsellinate,0.972267
Propoxur,0.877933
MCPB,0.976267
Isoamyl_salicylate,0.990533
2-PhenylPhenol,0.999333
"4-methyl-2,6-dinitroPhenol",0.986067
Cycloate,0.986
Butylated_hydroxytoluene,0.998667
Promecarb,0.9614
Diphenylamine,0.9992
Dichlorprop-P,0.9776
Pebulate,0.9716
Pyrimethanil,0.9992
Dichlorprop,0.981667
Methyleugenol,0.9992
Metoxuron,0.970867
Chlorbromuron,0.9338
Methiocarb,0.97
c16_t8_10_lp02_22_32_42_132_162_Sgn13_14_15ht_Poly,0.960333
Piperonyl_butoxide,0.995
Aminocarb,0.809867
Mecoprop,0.983933
Ethiofencarb,0.961133
Monuron,0.9368
2-Naphthalenol,0.998133
Ethylparaben,0.982
Bendiocarb,0.800267
Linuron,0.9034
Propylparaben,0.955933
Pentanochlor,0.996467
1-Naphthol,0.9982
Chloramben,0.853933
Chlorpropamide,0.982867
Dicamba-dimethylammonium,0.982667
Sodium_dicamba,0.986867
"2-methyl-4,6-dinitroPhenol",0.989867
2_3_5_6-TetrachloroAniline,0.979667
2-Methyl-4_6-dinitroPhenol,0.99
Methylparaben,0.936067
Dicamba,0.989467
Anethole,0.9968
Isoprocarb,0.944733
Ethyl_anthranilate,0.9818
3-Ethoxy-4-hydroxybenzaldehyde,0.9862
Chloroneb,0.996067
4-Propylanisole,0.997733
Fenuron,0.920133
Diuron,0.9414
Methyl_2-aminobenzoate,0.944733
Vernolate,0.8972
Thymol,0.995933
Methyl_salicylate,0.9486
Ioxynil,0.989
8-Hydroxyquinoline,0.983067
4-Nitro-3-methylPhenol,0.989133
Propham,0.9788
Propyl_gallate,0.952467
1-methylIndole,0.998
2-methylIndole,0.996733
Chlorotoluron,0.9642
4-hydroxyacetophenone,0.980667
4-nitroAniline,0.9438
Eugenol,0.9982
XMC,0.927467
4-tert-ButylPhenol,0.994333
Dicloran,0.963667
3-nitroPhenol,0.9616
2-methoxy-5-nitroAniline,0.9788
3-nitroAniline,0.9396
4-methyl-3-nitroAniline,0.9584
2-Hydroxyacetophenone,0.985867
Sodium_2-methoxy-5-nitroPhenolate,0.9908
2-nitroAniline,0.9596
"1,4-dimethoxybenzene",0.996933
2-nitroPhenol,0.960533
4-Aminobenzoic_acid,0.769933
3-aminobezoic_acid,0.769533
Bromoxynil,0.986467
Ethiolate,0.8792
4-Hydroxybenzoic_acid,0.846733
4-Tolyl_acetate,0.963667
3-hydroxybenzoic_acid,0.840067
"3,4-dimethoxyPhenol",0.993467
Benzothiazole,0.9874
Salicylic_acid,0.890867
Piperonal,0.988267
2_4_6-TrichloroPhenol,0.990667
Prothiocarb,0.421667
2-Phenoxyethanol,0.8372
3-methoxyPhenol,0.981
2-hydroxybenzoic_acid,0.8134
Sodium_salicylate,0.815333
Indole,0.996267
"1,2-dimethoxybenzene",0.997733
thioanisole,0.997133
Diallyl_diSulfide,0.990867
4-Chloro-3_5-dimethylPhenol,0.992933
Methfuroxam,0.999533
4-Chloro-3-methylPhenol,0.987067
4-MethoxyPhenol,0.987133
Anisole,0.991333
3-Chloro-4-methylbenzenamine_hydrochloride,0.967133
N-methylAniline,0.924733
2-methyl-5-nitroAniline,0.965267
4-chloroPhenol,0.965467
4-chloroAniline,0.882667
4-methylPhenol,0.9774
4-toluidine,0.9346
4-methylAniline,0.930333
2-methoxyAniline,0.968267
4-hydroxyPhenol,0.936067
Hydroquinone,0.9312
4-phenylenediamine,0.521867
4-aminoPhenol,0.789267
2-chloroPhenol,0.977267
2-chloroAniline,0.9112
o-Cresol,0.987867
2-methylPhenol,0.989133
2-hydroxyPhenol,0.957133
X1,0.600933
C1,0.576533
C4,0.580667
C2,0.4318
C3,0.464267
X3,0.480467
C5,0.4686
X2,0.3896
C6,0.447267
N1a,0.389533
N1d,0.4018
X4,0.3428
SX1,0.446267
N1,0.292933
SC1,0.3442
N2a,0.206
N2d,0.206867
P6,0.018933
N2,0.147333
Q4,0.022533
Q5,0.015
SC6,0.394267
SC4,0.432267
Q3,0.026467
N4,0.0808
P6a,0.024867
P6d,0.022933
N4d,0.0892
P5,0.015467
N4a,0.096267
N6,0.041133
P2,0.036
P4,0.023067
N3,0.069533
P3,0.0294
P1,0.040733
SX2,0.280067
N5,0.048667
P4a,0.023333
N3a,0.089467
SC3,0.3252
P1a,0.045067
P2d,0.035533
P5d,0.020067
SN1d,0.354667
N5a,0.0666
SN1a,0.350133
SC5,0.318467
P1d,0.048333
P5a,0.018733
SX3,0.332467
P4d,0.0204
P3d,0.030067
N3d,0.082533
N5d,0.068133
SC2,0.256733
N6d,0.045333
P2a,0.0374
P3a,0.0292
N6a,0.0412
Q2,0.033333
SP6,0.013467
SN1,0.260533
SP6d,0.019533
SP6a,0.017133
Q1,0.028333
SP5a,0.015867
SX4,0.225867
SP4a,0.020667
SP2,0.023733
SP5,0.012867
SP5d,0.012867
SP4,0.017
TX1,0.336733
SP4d,0.018333
SP3,0.030933
SN6,0.029
SP2a,0.0304
SP3d,0.027133
SN2,0.115267
SN4,0.054467
SP2d,0.034667
SN2d,0.144133
SP1,0.035733
SN4a,0.071133
SN6a,0.035867
SN2a,0.147533
SN4d,0.0786
SP3a,0.027
SN6d,0.037133
SP1d,0.032933
SP1a,0.039333
SN5a,0.051
SN3,0.048333
SN5,0.039667
SN5d,0.050733
SN3a,0.0668
TD,0.0034
SN3d,0.064933
D,0.001933
SQ5,0.006667
TC1,0.3206
TP6,0.015667
SQ4,0.008933
TP6d,0.011933
TP6a,0.012733
TC4,0.312067
SD,0.0008
SQ3,0.015267
TC6,0.2408
TP5,0.013067
TX2,0.167
TP4,0.0128
TP4a,0.017267
TP4d,0.017867
SQ2,0.038
TP3,0.024533
TP2,0.020267
TP5a,0.012667
TN6,0.0226
TP5d,0.018267
TP3a,0.020467
TP2d,0.0238
TC2,0.187533
TP1,0.025867
TP2a,0.025933
TC5,0.2074
TP3d,0.019333
TN1,0.158133
TN4,0.041267
TN1d,0.221667
TC3,0.2226
TP1a,0.028067
TN1a,0.2288
TN6a,0.029533
TP1d,0.030867
TN5,0.030467
TN6d,0.0342
TX3,0.200133
TN2,0.076533
TX4,0.1516
TN5a,0.0366
TN4d,0.0486
TN5d,0.037067
TN4a,0.050467
TN2d,0.1042
SQ1,0.051067
TN2a,0.103467
TN3,0.038267
TN3d,0.043333
TN3a,0.042067
TQ5,0.004133
TQ1,0.206733
TQ4,0.006067
TQ3,0.017533
TQ2,0.108533
